 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:00249-05041,5.334,4.154,0.758,2.909,5.500,7.998
2,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:01921-08456,3.693,5.181,0.977,3.769,6.818,6.716
3,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:02151-09047,0.821,3.700,0.424,3.400,4.000,3.843
4,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:02300-04757,0.410,3.000,0.000,3.000,3.000,2.562
5,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:02301-04750,1.641,2.790,0.430,2.150,3.071,4.529
6,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:02364-06738,6.975,3.502,0.609,2.444,5.000,9.654
7,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:02582-05788,28.722,3.798,0.839,2.280,5.625,20.900
8,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:02706-06371,7.386,3.321,0.717,1.800,4.500,9.279
9,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:02889-06275,24.208,3.332,0.435,2.455,4.235,19.994
10,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:02937-04551,26.670,3.313,0.436,2.381,4.421,18.557
11,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:02942-04533,11.899,4.090,0.741,2.833,5.714,12.152
12,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:03004-05882,13.951,4.152,0.713,2.750,5.562,14.183
13,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:03235-09043,25.029,4.446,0.638,3.000,6.000,18.182
14,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:03358-00718,2.462,3.727,0.482,3.214,4.364,6.341
15,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:03749-10082,16.002,3.950,0.356,3.312,5.133,14.714
16,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:03836-06620,6.155,5.259,1.489,3.091,8.500,8.528
17,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:03923-05580,12.720,3.676,0.524,2.700,4.714,13.277
18,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:03927-05593,20.105,3.522,0.604,2.474,5.308,15.840
19,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:04022-04082,0.821,3.705,0.289,3.500,3.909,3.624
20,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:04228-08874,12.720,3.950,0.893,2.545,6.571,12.527
21,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:04612-03861,45.955,4.549,0.809,2.625,6.688,26.399
22,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:04769-04829,29.953,3.408,0.637,1.882,5.038,19.838
23,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:04816-06952,70.574,5.455,2.200,1.179,11.476,42.019
24,Result of Before_GA3_B4 Region1_Merged_RAW_ch01.tif:04998-03836,0.821,4.050,0.071,4.000,4.100,3.624
