 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:01529-04697,1.231,4.899,0.010,4.889,4.909,3.624
2,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:02612-06473,23.388,3.015,0.486,2.056,4.235,17.276
3,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:02659-06483,36.928,2.493,0.355,1.679,3.294,22.401
4,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:02944-06613,23.388,2.250,0.361,1.536,3.000,18.557
5,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:03719-05390,57.444,3.668,0.861,1.353,5.462,27.305
6,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:03757-04398,1.641,4.717,0.466,4.200,5.111,4.905
7,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:03766-05446,29.132,2.359,0.439,1.261,3.176,21.961
8,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:04288-02916,0.821,2.206,0.291,2.000,2.412,3.624
9,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:04343-01443,51.699,4.695,1.161,1.739,7.900,28.367
10,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:04556-02945,47.186,3.170,0.560,1.920,4.533,26.399
11,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:05593-04880,0.410,2.455,0.000,2.455,2.455,2.562
12,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:05721-04765,4.513,3.042,0.595,2.308,4.091,7.247
13,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:05729-04767,32.825,3.036,0.594,1.571,4.467,21.650
14,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:05796-06025,6.565,2.180,0.388,1.562,2.692,9.809
15,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:05804-04986,13.951,2.359,0.333,1.652,3.100,13.277
16,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:05914-07584,9.027,2.980,0.741,1.625,4.167,10.185
17,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:05913-07556,31.594,2.093,0.592,1.333,4.273,20.900
18,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:05913-05036,51.699,1.629,0.345,0.872,2.550,38.020
19,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:05983-05352,15.182,2.605,0.529,1.875,3.857,14.183
20,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:06183-06055,45.955,2.151,0.418,1.333,3.278,24.898
21,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:06304-05615,21.747,2.703,0.367,1.955,3.381,18.182
22,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:06365-08729,1.231,2.718,0.134,2.571,2.833,3.624
23,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:07014-04323,51.699,2.122,0.347,1.214,3.250,27.991
24,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:07413-07564,35.697,2.147,0.578,1.158,3.667,22.181
25,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:07660-06574,19.695,4.791,0.769,3.167,7.000,15.620
26,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:08639-05401,0.821,2.839,0.126,2.750,2.929,3.624
27,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:09176-05126,46.776,1.652,0.149,1.342,2.069,24.743
28,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:10341-05371,0.410,1.900,0.000,1.900,1.900,2.562
29,Result of Before_GA3_A4 Region1_Merged_RAW_ch01.tif:10733-06831,29.953,4.761,5.783,0.318,18.571,22.025
