 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00257-05042,3.693,4.519,0.520,3.300,5.111,6.716
2,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00741-07524,0.410,3.091,0.000,3.091,3.091,2.562
3,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:01943-08447,4.103,5.161,1.124,3.786,6.750,7.092
4,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:02166-09044,1.641,3.593,0.469,3.214,4.200,4.905
5,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:02169-09043,0.410,2.167,0.000,2.167,2.167,2.562
6,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:02171-09045,0.821,2.490,0.457,2.167,2.812,3.843
7,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:02295-04753,0.410,3.385,0.000,3.385,3.385,2.562
8,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:02297-04753,0.410,2.786,0.000,2.786,2.786,2.562
9,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:02391-06732,4.103,4.046,0.538,3.000,5.111,7.247
10,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:02607-05786,32.004,4.280,1.218,2.050,6.588,23.307
11,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:02724-06368,9.027,4.147,0.874,2.692,6.625,10.715
12,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:02915-06270,22.157,3.653,0.593,2.700,5.538,20.369
13,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:02937-04543,1.231,3.615,0.212,3.429,3.846,3.624
14,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:02942-04547,23.798,3.578,0.521,2.261,4.706,19.088
15,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:02946-04531,6.565,3.424,0.543,2.619,4.400,9.809
16,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:02960-04529,4.103,4.984,0.856,3.769,6.778,7.092
17,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:03029-05877,12.720,4.380,0.586,2.833,5.455,13.277
18,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:03121-00705,4.103,3.868,0.661,3.214,4.889,7.622
19,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:03265-09037,30.773,4.637,0.784,3.000,6.583,20.369
20,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:03781-10068,4.103,3.793,0.241,3.375,4.154,7.622
21,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:03840-10091,0.821,3.202,0.374,2.938,3.467,3.624
22,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:03885-06614,1.231,4.741,0.357,4.333,5.000,3.624
