 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:03498-07348,34.877,3.412,1.628,0.917,8.500,21.650
2,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:04573-04437,43.903,2.444,0.286,1.773,3.235,25.804
3,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:05014-05220,20.926,1.234,0.207,0.818,1.875,16.370
4,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:05374-02482,20.105,1.908,0.775,1.026,4.214,17.432
5,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:06099-01329,2.462,1.977,0.159,1.818,2.222,5.435
6,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:06132-03047,1.231,2.235,0.098,2.125,2.312,3.624
7,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:06202-02212,4.924,2.438,0.360,2.000,3.000,8.528
8,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:06314-03571,2.872,2.318,0.384,1.952,3.133,6.341
9,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:06623-01215,4.513,2.543,0.088,2.412,2.706,8.153
10,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:06983-01816,1.231,2.667,0.131,2.583,2.818,3.624
11,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:07019-04690,15.592,2.148,0.288,1.588,2.733,14.559
12,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:07027-04686,4.924,1.705,0.186,1.417,2.000,9.809
13,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:07035-06755,22.567,4.228,0.835,2.000,5.875,17.276
14,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:07170-04459,16.413,2.715,0.470,1.833,4.000,14.714
