 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:00764-05763,0.821,4.000,0.424,3.700,4.300,2.718
2,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:01012-02607,13.540,4.577,1.234,2.429,6.667,12.902
3,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:01460-03996,2.872,4.268,0.555,3.333,5.200,7.092
4,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:01886-03419,30.773,4.439,0.730,2.929,6.400,20.744
5,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02002-04826,20.105,4.147,0.883,2.474,7.222,17.432
6,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02208-03425,6.565,3.928,0.575,3.200,5.375,8.903
7,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02210-05045,53.751,4.970,1.138,2.300,7.500,27.305
8,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02560-04102,9.848,4.030,0.737,2.529,5.083,11.090
9,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02641-04674,20.926,4.510,0.870,2.895,6.400,17.807
10,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02729-05271,2.872,2.657,0.325,2.158,3.000,6.341
11,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02802-05030,0.821,4.286,0.019,4.273,4.300,3.624
12,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02885-05850,9.027,3.323,1.052,1.333,4.875,11.090
13,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03341-03931,2.462,3.788,0.860,2.769,5.375,6.186
14,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03445-07248,2.462,2.846,0.482,2.263,3.500,6.341
15,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03669-04382,16.823,5.649,2.152,1.840,9.812,15.464
