 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:0764-6680,1.641,3.836,0.531,3.286,4.417,4.905
2,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:0830-6548,4.924,4.132,0.265,3.769,4.500,9.279
3,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:0872-6778,61.957,5.765,1.802,2.700,9.185,28.742
4,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:1178-4597,0.410,3.583,0.000,3.583,3.583,2.562
5,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:1179-4594,8.206,4.182,0.420,3.500,5.300,16.150
6,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:2123-8279,40.621,4.142,0.633,2.357,6.125,24.898
7,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:2140-5481,7.796,4.216,0.544,3.462,5.556,10.340
8,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:2541-6912,15.182,4.669,0.760,3.250,6.417,14.339
9,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:2834-8825,9.437,4.286,0.420,3.062,4.917,11.621
10,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:2996-5290,2.052,2.886,0.262,2.636,3.200,5.435
11,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:3229-7097,16.413,4.116,0.584,3.176,5.462,15.620
12,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:3563-7018,6.975,5.196,1.277,2.818,6.857,9.434
13,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:3825-6678,1.231,5.407,0.257,5.111,5.556,3.624
14,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:3850-3393,2.052,3.339,0.692,2.556,4.125,4.905
15,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:3900-6006,20.516,3.941,0.696,3.000,6.200,17.056
16,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:4035-6976,0.410,4.000,0.000,4.000,4.000,2.562
17,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:4037-6976,0.410,4.167,0.000,4.167,4.167,2.562
18,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:4088-4521,3.283,2.863,0.386,2.500,3.714,6.716
19,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:4229-3448,19.285,3.600,0.567,2.526,4.846,16.901
