 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:03470-07363,32.004,3.292,0.531,2.056,4.684,20.369
2,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:04541-04458,0.410,1.667,0.000,1.667,1.667,2.562
3,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:04538-04451,46.365,2.444,0.314,1.667,3.412,28.522
4,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:04976-05246,32.415,1.479,0.325,0.980,2.643,20.744
5,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:06065-01347,0.410,2.231,0.000,2.231,2.231,2.562
6,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:06287-05514,5.334,1.568,0.229,1.226,2.045,8.528
7,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:06401-06051,0.410,2.846,0.000,2.846,2.846,2.562
8,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:06799-05054,4.103,2.608,0.329,2.059,3.077,7.998
9,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:06988-04701,0.410,2.214,0.000,2.214,2.214,2.562
10,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:06986-04705,11.489,1.830,0.205,1.440,2.368,13.808
11,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:06993-04704,0.410,1.464,0.000,1.464,1.464,2.562
12,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:07003-06769,22.978,4.316,0.923,3.000,7.375,16.746
13,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:07023-04346,4.103,2.323,0.222,1.955,2.684,7.247
14,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:07139-04471,16.823,2.780,0.373,2.000,3.750,14.559
15,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:07154-01637,8.617,2.141,0.222,1.696,2.526,11.246
16,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:07154-01649,15.182,2.338,0.335,1.808,2.938,14.714
17,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:07182-04641,28.312,3.105,0.707,1.682,5.733,19.619
18,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:07192-04639,2.462,3.214,0.453,2.667,3.833,6.406
19,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:07395-04445,11.078,2.542,0.366,1.600,3.222,11.996
20,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:07785-06286,52.110,1.448,0.264,0.843,2.120,26.930
21,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:07862-06817,3.693,1.310,0.421,0.524,1.741,6.716
22,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:07904-05529,19.285,2.249,0.236,1.800,2.857,15.995
23,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:08101-05522,21.747,3.995,0.624,2.450,5.471,16.901
24,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:08207-03883,43.083,4.723,2.310,1.600,9.778,23.837
25,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:08575-04289,22.978,2.256,0.400,1.630,3.167,17.276
26,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:08659-06020,55.803,2.228,0.842,0.500,4.900,28.742
27,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:08817-03786,25.439,2.171,0.300,1.577,3.250,19.088
28,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:09005-03168,8.617,2.490,0.291,1.900,3.143,16.370
29,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:09433-07446,9.437,2.104,0.299,1.444,2.700,11.466
30,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:09757-02069,6.975,2.349,0.323,1.889,3.143,8.903
31,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:10210-04182,2.872,2.056,0.240,1.833,2.526,6.341
32,Result of Before_GA3_A2 Region1_Merged_RAW_ch01.tif:12107-04835,37.338,2.916,1.312,1.119,6.875,22.556
