 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,Result of Before_GA3_B3 Region1_Merged_RAW_ch01.tif:02243-02488,9.027,5.688,1.119,3.500,7.800,10.340
2,Result of Before_GA3_B3 Region1_Merged_RAW_ch01.tif:02723-05278,7.386,4.475,0.580,3.364,5.750,9.279
3,Result of Before_GA3_B3 Region1_Merged_RAW_ch01.tif:03356-01225,5.334,4.080,0.481,3.389,4.800,7.998
4,Result of Before_GA3_B3 Region1_Merged_RAW_ch01.tif:03649-01862,10.668,3.677,0.609,2.783,5.143,12.372
5,Result of Before_GA3_B3 Region1_Merged_RAW_ch01.tif:03722-02219,8.617,4.523,0.558,3.818,5.889,9.809
6,Result of Before_GA3_B3 Region1_Merged_RAW_ch01.tif:04024-02093,0.821,3.150,0.212,3.000,3.300,3.843
7,Result of Before_GA3_B3 Region1_Merged_RAW_ch01.tif:04026-02092,0.410,2.909,0.000,2.909,2.909,2.562
8,Result of Before_GA3_B3 Region1_Merged_RAW_ch01.tif:04306-01581,12.309,2.778,0.318,2.261,3.588,12.902
9,Result of Before_GA3_B3 Region1_Merged_RAW_ch01.tif:04431-01524,3.283,3.553,0.535,2.643,4.300,7.092
10,Result of Before_GA3_B3 Region1_Merged_RAW_ch01.tif:04567-01628,27.491,3.515,0.635,2.240,5.067,21.275
11,Result of Before_GA3_B3 Region1_Merged_RAW_ch01.tif:04732-04001,18.054,3.755,0.492,2.526,5.000,15.995
12,Result of Before_GA3_B3 Region1_Merged_RAW_ch01.tif:05255-02308,10.668,4.108,0.405,3.467,5.500,11.621
13,Result of Before_GA3_B3 Region1_Merged_RAW_ch01.tif:05431-08545,21.336,4.888,1.257,2.050,7.846,15.995
14,Result of Before_GA3_B3 Region1_Merged_RAW_ch01.tif:05450-02843,4.513,4.373,0.249,3.929,4.769,8.528
15,Result of Before_GA3_B3 Region1_Merged_RAW_ch01.tif:05605-05031,8.617,3.586,0.442,2.800,4.438,9.809
16,Result of Before_GA3_B3 Region1_Merged_RAW_ch01.tif:05692-02696,64.419,3.643,1.131,1.933,8.500,34.772
17,Result of Before_GA3_B3 Region1_Merged_RAW_ch01.tif:05943-04502,9.848,2.188,0.391,1.533,3.000,11.996
18,Result of Before_GA3_B3 Region1_Merged_RAW_ch01.tif:06201-01078,0.410,2.571,0.000,2.571,2.571,2.562
19,Result of Before_GA3_B3 Region1_Merged_RAW_ch01.tif:06853-01529,14.361,3.962,1.142,1.880,6.429,13.808
