 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:00207-08500,3.693,2.170,0.200,1.842,2.500,7.247
2,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:00962-03790,0.410,3.000,0.000,3.000,3.000,2.562
3,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:01532-04681,0.821,4.306,0.275,4.111,4.500,3.843
4,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02612-06454,23.798,3.086,0.606,1.944,4.190,17.807
5,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02664-06464,33.646,2.621,0.385,1.810,3.643,21.275
6,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02946-06593,23.798,2.326,0.330,1.710,3.000,18.027
7,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03755-05353,57.033,3.996,0.851,1.778,5.500,27.305
8,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03762-04384,6.975,4.725,0.556,3.727,6.000,8.903
9,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03766-05426,29.543,2.244,0.282,1.480,2.800,24.148
10,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:04352-01426,54.572,4.490,1.118,1.737,8.867,28.897
11,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:04563-02931,44.314,3.159,0.545,2.000,4.765,26.710
12,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:05595-04870,10.668,2.753,0.307,2.154,3.300,11.996
13,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:05737-04754,30.773,3.339,0.760,1.824,5.727,20.369
14,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:05804-06010,0.410,2.375,0.000,2.375,2.375,2.562
15,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:05804-06015,0.410,1.500,0.000,1.500,1.500,2.562
16,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:05806-06013,1.641,2.157,0.344,1.667,2.444,5.124
